Way 1: 
126:{'tag': '0000000001001101001010', 'val': 1, 'data': 0}
127:{'tag': '0001000000000010001010', 'val': 1, 'data': 0}
128:{'tag': '0000000001001101110010', 'val': 1, 'data': 0}
129:{'tag': '0111111111111111011101', 'val': 1, 'data': 0}
130:{'tag': '0111111111111111011101', 'val': 1, 'data': 0}
131:{'tag': '0111111111111111011101', 'val': 1, 'data': 0}
132:{'tag': '0000000001001101001111', 'val': 1, 'data': 0}
133:{'tag': '0001000000000001110110', 'val': 1, 'data': 0}
134:{'tag': '0000000001001101010100', 'val': 1, 'data': 0}
135:{'tag': '0001000000000000000100', 'val': 1, 'data': 0}
136:{'tag': '0000000001001101010100', 'val': 1, 'data': 0}
137:{'tag': '0001000000000001110110', 'val': 1, 'data': 0}
138:{'tag': '0000000001001101010100', 'val': 1, 'data': 0}
139:{'tag': '0111111111111111011101', 'val': 1, 'data': 0}
140:{'tag': '0000000001001101101001', 'val': 1, 'data': 0}
141:{'tag': '0001000000000001101011', 'val': 1, 'data': 0}
142:{'tag': '0000000001001101101001', 'val': 1, 'data': 0}
143:{'tag': '0001000000000001101011', 'val': 1, 'data': 0}
144:{'tag': '0000000001001101001100', 'val': 1, 'data': 0}
145:{'tag': '0001000000000001101011', 'val': 1, 'data': 0}
146:{'tag': '0000000001001101001100', 'val': 1, 'data': 0}
147:{'tag': '0001000000000001101011', 'val': 1, 'data': 0}
148:{'tag': '0001000000000001110100', 'val': 1, 'data': 0}
149:{'tag': '0001000000000001110100', 'val': 1, 'data': 0}
150:{'tag': '0000000001001101001010', 'val': 1, 'data': 0}
151:{'tag': '0001000000000001101011', 'val': 1, 'data': 0}
152:{'tag': '0000000001001101001010', 'val': 1, 'data': 0}
153:{'tag': '0111111111111111011101', 'val': 1, 'data': 0}
154:{'tag': '0000000001001101001111', 'val': 1, 'data': 0}
155:{'tag': '0111111111111111011101', 'val': 1, 'data': 0}
156:{'tag': '0000000001001101010100', 'val': 1, 'data': 0}
157:{'tag': '0001000000000001101011', 'val': 1, 'data': 0}
158:{'tag': '0000000001001101010100', 'val': 1, 'data': 0}
159:{'tag': '0001000000000001101011', 'val': 1, 'data': 0}
160:{'tag': '0000000001001101010100', 'val': 1, 'data': 0}
161:{'tag': '0001000000000001101011', 'val': 1, 'data': 0}
162:{'tag': '0000000001001101010100', 'val': 1, 'data': 0}
163:{'tag': '0001000000000001101011', 'val': 1, 'data': 0}
164:{'tag': '0000000001001101010100', 'val': 1, 'data': 0}
165:{'tag': '0001000000000001101010', 'val': 1, 'data': 0}
166:{'tag': '0000000001001101001111', 'val': 1, 'data': 0}
167:{'tag': '0001000000000001101011', 'val': 1, 'data': 0}
168:{'tag': '0000000001001101100110', 'val': 1, 'data': 0}
169:{'tag': '0001000000000001110110', 'val': 1, 'data': 0}
170:{'tag': '0000000001001101001111', 'val': 1, 'data': 0}
171:{'tag': '0001000000000001110110', 'val': 1, 'data': 0}
172:{'tag': '0000000001001101001111', 'val': 1, 'data': 0}
173:{'tag': '0001000000000001101011', 'val': 1, 'data': 0}
174:{'tag': '0000000001001101010100', 'val': 1, 'data': 0}
175:{'tag': '0001000000000001101011', 'val': 1, 'data': 0}
